City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp C
68,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,100,100,2.0,RU,1720594198,13.330000000000041
69,ushuaia,-54.8,-68.3,276.96,60,40,16.46,AR,1720594199,3.8100000000000023
70,castillos,-34.1667,-53.8333,281.18,83,100,3.8,UY,1720594200,8.03000000000003
71,kodiak,57.79,-152.4072,282.88,93,100,3.09,US,1720594201,9.730000000000018
72,jamestown,42.097,-79.2353,295.95,94,100,3.6,US,1720594202,22.80000000000001
73,callao,-12.0667,-77.15,289.49,88,100,2.57,PE,1720594204,16.340000000000032
74,prey veng,11.4868,105.3253,308.98,42,100,4.55,KH,1720594205,35.83000000000004
75,college,64.8569,-147.8028,288.33,86,100,2.57,US,1720594135,15.180000000000007
76,zabol,32.25,67.25,305.96,16,0,8.31,AF,1720594207,32.81
77,sao paulo de olivenca,-3.3783,-68.8725,295.34,97,39,0.67,BR,1720594209,22.189999999999998
78,devin,41.7433,24.4,300.33,38,0,3.32,BG,1720594210,27.180000000000007
79,bel ombre,-4.6167,55.4167,301.06,78,75,4.63,SC,1720594212,27.910000000000025
80,carnarvon,-24.8667,113.6333,295.32,69,0,5.1,AU,1720594213,22.170000000000016
81,pascagoula,30.3658,-88.5561,300.22,95,100,4.03,US,1720594214,27.07000000000005
82,usogorsk,63.4106,48.6872,292.73,73,56,4.52,RU,1720594216,19.58000000000004
83,kincardine,56.0667,-3.7167,287.14,94,100,1.37,GB,1720594217,13.990000000000009
84,huarmey,-10.0681,-78.1522,290.28,87,69,2.66,PE,1720594218,17.129999999999995
85,zhoukou,33.6333,114.6333,301.82,54,99,0.89,CN,1720594219,28.670000000000016
86,ust-nera,64.5667,143.2,297.68,28,87,1.78,RU,1720594220,24.53000000000003
87,santiago de cao,-7.9589,-79.2392,289.22,94,75,2.06,PE,1720594222,16.07000000000005
88,gay,51.4666,58.4552,300.44,39,100,6.22,RU,1720594149,27.29000000000002
89,joaquin v. gonzalez,-25.0833,-64.1833,276.19,79,29,0.27,AR,1720594224,3.0400000000000205
90,tenosique,17.4833,-91.4333,296.99,97,100,2.01,MX,1720594225,23.840000000000032
91,olonkinbyen,70.9221,-8.7187,276.78,92,99,7.09,SJ,1720594226,3.6299999999999955
92,sechura,-5.5569,-80.8222,291.29,80,4,4.8,PE,1720594227,18.140000000000043
